hw-ow-hw 43.276 104.520   # AMBER 1 TIP3P_water
ce-c3-ce 65.825 111.470   # SOURCE4_SOURCE5 53 0.5207
ce-c3-cy 68.161 102.860   # CORR_SOURCE5 72 0.2321
ce-c3-h1 47.473 109.540   # CORR_SOURCE5 252 0.8257
ce-c3-hc 47.247 110.590   # SOURCE3_SOURCE5 2438 0.7216
ce-c3-n3 83.687 111.760   # CORR_SOURCE5 83 0.9878
ce-c3-n 84.343 110.220   # SOURCE4_SOURCE5 16 1.1101
ce-c3-oh 84.964 111.190   # SOURCE4_SOURCE5 74 1.5577
ce-c3-os 85.406 109.500   # SOURCE4_SOURCE5 71 1.9041
ce-c3-ss 63.335 110.720   # SOURCE4_SOURCE5 19 1.8179
c-c3-f 88.148 110.000   # SOURCE4_SOURCE5 101 0.9951
cf-c3-cy 68.165 102.860   # CORR_SOURCE5 72 0.2321
cf-c3-h1 47.479 109.540   # CORR_SOURCE5 252 0.8257
cf-c3-hc 47.253 110.590   # SOURCE3_SOURCE5 2411 0.7279
cf-c3-n3 83.693 111.760   # CORR_SOURCE5 83 0.9878
c-c3-h1 47.531 108.220   # SOURCE3_SOURCE5 3484 0.9857
c-c3-h2 47.215 109.690   # SOURCE4_SOURCE5 100 1.0452
c-c3-hc 47.411 108.770   # SOURCE3_SOURCE5 11750 0.9577
c-c3-hx 47.419 108.850   # SOURCE4_SOURCE5 172 0.8753
cl-c3-cl 81.372 109.330   # SOURCE2_SOURCE5 325 0.5772
cl-c3-f 94.073 109.110   # SOURCE4_SOURCE5 57 0.3048
cl-c3-h1 48.859 106.780   # SOURCE3_SOURCE5 860 0.4999
cl-c3-h2 48.808 106.990   # SOURCE4_SOURCE5 147 0.6435
cl-c3-hc 48.661 107.650   # SOURCE2 2 2.2500
cl-c3-os 91.033 110.860   # SOURCE4_SOURCE5 26 1.1129
cl-c3-ss 71.130 112.530   # SOURCE4_SOURCE5 39 1.6937
c-c3-n2 84.195 109.670   # SOURCE4_SOURCE5 157 1.3668
c-c3-n3 83.673 111.140   # SOURCE4_SOURCE5 1652 1.6694
c-c3-n4 82.611 110.730   # SOURCE4_SOURCE5 103 1.8311
c-c3-n 84.540 109.060   # SOURCE3_SOURCE5 905 1.7615
c-c3-na 83.584 111.500   # SOURCE4_SOURCE5 87 1.4027
c-c3-nh 84.373 109.350   # SOURCE4_SOURCE5 106 1.8043
c-c3-oh 85.627 108.790   # SOURCE4_SOURCE5 824 1.3178
c-c3-os 85.254 109.210   # SOURCE3_SOURCE5 429 1.7229
c-c3-p5 81.107 110.850   # SOURCE4_SOURCE5 32 1.9944
c-c3-s6 64.058 110.670   # SOURCE4_SOURCE5 14 2.0336
c-c3-sh 63.714 108.720   # SOURCE4_SOURCE5 31 0.7714
c-c3-ss 63.788 108.840   # SOURCE3_SOURCE5 149 1.5563
cx-c3-cx 65.100 113.590   # SOURCE4_SOURCE5 27 1.6971
cx-c3-h1 47.373 109.680   # SOURCE4_SOURCE5 611 0.9276
cx-c3-hc 47.265 110.180   # SOURCE4_SOURCE5 1366 0.9055
cx-c3-hx 46.751 112.740   # SOURCE4_SOURCE5 30 0.2036
cx-c3-n3 83.086 113.180   # SOURCE4_SOURCE5 97 1.4360
cx-c3-n4 86.467 101.460   # SOURCE4_SOURCE5 26 0.1569
cx-c3-n 83.435 112.430   # SOURCE4_SOURCE5 68 0.9548
cx-c3-oh 85.349 109.980   # SOURCE4_SOURCE5 145 1.5821
cx-c3-os 85.968 107.870   # SOURCE4_SOURCE5 126 1.4698
cy-c3-h1 47.300 108.280   # SOURCE4_SOURCE5 415 1.0438
cy-c3-hc 46.770 110.750   # SOURCE3_SOURCE5 539 0.9100
cy-c3-n3 82.598 113.410   # SOURCE4_SOURCE5 17 1.2266
cy-c3-oh 84.330 111.490   # SOURCE4_SOURCE5 347 0.5753
cy-c3-os 85.847 107.070   # SOURCE4_SOURCE5 16 1.1669
f-c3-f 121.555 107.360   # SOURCE2_SOURCE5 1178 0.5429
f-c3-h1 66.869 107.900   # SOURCE3_SOURCE5 181 0.5803
f-c3-h2 66.607 108.790   # SOURCE3_SOURCE5 66 0.6474
f-c3-h3 66.233 110.080   # SOURCE4_SOURCE5 45 0.6178
f-c3-hc 66.555 108.920   # SOURCE2 5 3.0534
f-c3-n2 112.898 110.400   # SOURCE2 3 2.6470
f-c3-os 114.397 110.580   # SOURCE4_SOURCE5 114 1.2792
f-c3-p5 107.070 107.610   # SOURCE4_SOURCE5 35 1.1282
f-c3-s6 83.906 109.680   # SOURCE4_SOURCE5 57 0.4273
f-c3-ss 81.883 111.750   # SOURCE4_SOURCE5 38 1.8571
h1-c3-h1 38.802 108.460   # SOURCE3_SOURCE5 50971 0.8222
h1-c3-n1 62.841 107.990   # HF/6-31G*_SOURCE5 7 0.3554
h1-c3-n2 61.133 109.810   # SOURCE3_SOURCE5 957 1.0346
h1-c3-n3 61.163 109.880   # SOURCE3_SOURCE5 20428 1.2681
h1-c3-n 61.544 108.880   # SOURCE3_SOURCE5 6816 1.0842
h1-c3-na 61.536 108.780   # SOURCE3_SOURCE5 2896 0.9339
h1-c3-nc 61.844 108.570   # SOURCE3 6 0.0764
h1-c3-nd 61.844 108.570   # SOURCE3 6
h1-c3-nh 61.213 109.790   # SOURCE3_SOURCE5 6106 1.0471
h1-c3-no 59.962 105.470   # SOURCE4_SOURCE5 73 0.6459
h1-c3-o 64.637 116.450   # SOURCE3_SOURCE5 25 1.4798
h1-c3-oh 62.540 110.260   # SOURCE3_SOURCE5 7971 1.1355
h1-c3-os 62.377 109.780   # SOURCE3_SOURCE5 19982 1.1092
h1-c3-p5 54.608 108.270   # SOURCE4_SOURCE5 222 1.1376
h1-c3-s4 42.850 107.920   # SOURCE3_SOURCE5 496 0.6942
h1-c3-s 41.631 112.370   # SOURCE3_SOURCE5 14 0.4580
h1-c3-s6 43.600 107.150   # SOURCE3_SOURCE5 1022 0.8992
h1-c3-sh 42.420 108.420   # SOURCE3_SOURCE5 259 1.4350
h1-c3-ss 42.463 108.760   # SOURCE3_SOURCE5 3369 1.0506
h1-c3-sx 42.605 107.700   # SOURCE3_SOURCE5 201 0.7977
h1-c3-sy 43.421 107.880   # SOURCE3_SOURCE5 377 1.1089
h2-c3-h2 38.523 110.200   # SOURCE3_SOURCE5 677 0.8586
h2-c3-i 39.064 104.990   # SOURCE3 2
h2-c3-n2 61.031 110.200   # SOURCE3_SOURCE5 69 0.8494
h2-c3-n3 61.318 109.350   # SOURCE4_SOURCE5 660 0.9086
h2-c3-n 62.008 107.280   # SOURCE4_SOURCE5 692 1.3634
h2-c3-na 61.963 107.310   # SOURCE3_SOURCE5 428 0.9670
h2-c3-nc 61.596 109.470   # SOURCE3 10 0.3133
h2-c3-nd 61.596 109.470   # SOURCE3 10
h2-c3-nh 61.159 110.010   # SOURCE4_SOURCE5 274 1.1061
h2-c3-no 59.186 108.270   # SOURCE3_SOURCE5 13 0.4528
h2-c3-o 66.832 108.970   # SOURCE3 4
h2-c3-oh 62.785 109.430   # SOURCE3_SOURCE5 258 1.6998
h2-c3-os 62.442 109.580   # SOURCE3_SOURCE5 2823 0.6377
h2-c3-s4 42.969 107.310   # SOURCE3_SOURCE5 29 0.3344
h2-c3-s 42.709 106.750   # SOURCE3 4
h2-c3-s6 43.728 106.510   # SOURCE4_SOURCE5 67 1.0466
h2-c3-sh 42.525 107.870   # SOURCE3 6 0.4376
h2-c3-ss 42.544 108.330   # SOURCE3_SOURCE5 279 1.1804
h3-c3-n3 61.502 108.730   # SOURCE4_SOURCE5 32 1.8953
h3-c3-nc 61.634 109.370   # SOURCE3 1
h3-c3-nd 61.634 109.370   # SOURCE3 1
h3-c3-nh 61.116 110.200   # SOURCE4_SOURCE5 11 1.4222
h3-c3-os 61.911 111.510   # SOURCE4_SOURCE5 44 1.4444
h3-c3-ss 42.391 109.090   # SOURCE4_SOURCE5 19 0.8547
hc-c3-hc 38.960 107.580   # SOURCE3_SOURCE5 92717 0.5328
hc-c3-i 39.071 104.990   # SOURCE3 1
hc-c3-n2 61.220 109.500   # SOURCE3 1
hc-c3-n3 61.186 109.800   # SOURCE2 5 2.0070
hc-c3-n4 60.071 107.900   # SOURCE3 1
hc-c3-n 61.369 109.500   # SOURCE3 1
hc-c3-na 61.334 109.500   # SOURCE3 1
hc-c3-nh 60.731 111.540   # SOURCE3 1
hc-c3-no 59.477 107.200   # SOURCE2 1
hc-c3-oh 62.756 109.500   # SOURCE3 1
hc-c3-os 62.686 108.700   # SOURCE2 13 2.3739
hc-c3-p2 53.633 110.180   # SOURCE3 25 0.4057
hc-c3-p3 53.601 109.890   # SOURCE3_SOURCE5 528 0.6740
hc-c3-p4 54.339 109.450   # SOURCE3_SOURCE5 128 0.4042
hc-c3-p5 54.567 108.430   # SOURCE3_SOURCE5 513 1.0539
hc-c3-px 54.606 109.700   # SOURCE3_SOURCE5 103 0.3664
hc-c3-py 54.373 109.180   # SOURCE3_SOURCE5 74 0.4506
hc-c3-s4 42.934 107.500   # SOURCE2 1
hc-c3-s6 43.388 108.200   # SOURCE3 1
hc-c3-sh 42.529 107.870   # SOURCE2 3 2.0981
hc-c3-ss 42.463 108.760   # SOURCE2 3 1.6891
hx-c3-hx 38.782 109.750   # SOURCE3_SOURCE5 5075 0.8234
hx-c3-n4 60.076 108.010   # SOURCE3_SOURCE5 6129 1.3658
i-c3-i 66.247 113.120   # SOURCE3 1
n1-c3-n1 112.470 105.070   # HF/6-31G* 1
n2-c3-n2 107.595 109.680   # SOURCE3_SOURCE5 6 0.6095
n2-c3-nh 106.900 111.270   # SOURCE4_SOURCE5 19 0.9194
n2-c3-oh 108.058 111.890   # SOURCE4_SOURCE5 31 0.2948
n2-c3-os 108.177 111.040   # SOURCE4_SOURCE5 16 1.7109
n3-c3-n3 106.945 111.230   # SOURCE4_SOURCE5 123 1.3731
n3-c3-nc 106.282 113.290   # SOURCE3 1
n3-c3-nd 106.282 113.290   # SOURCE3 1
n3-c3-nh 107.270 110.610   # SOURCE4_SOURCE5 58 1.2027
n3-c3-oh 108.693 110.700   # SOURCE4_SOURCE5 52 0.9667
n3-c3-os 109.486 108.510   # SOURCE4_SOURCE5 53 1.7879
n3-c3-p5 103.225 109.410   # SOURCE4_SOURCE5 26 1.5078
n3-c3-ss 81.202 107.380   # SOURCE4_SOURCE5 50 1.6843
n4-c3-n4 102.708 113.320   # SOURCE3 1
na-c3-na 106.005 113.490   # SOURCE3 1
na-c3-os 109.296 109.030   # SOURCE4_SOURCE5 495 0.5894
nc-c3-nc 107.885 110.610   # SOURCE3 1
nc-c3-nh 106.714 112.430   # SOURCE3 1
nc-c3-os 106.495 115.410   # SOURCE3 3 1.0288
nd-c3-nd 107.885 110.610   # SOURCE3 1
nd-c3-nh 106.714 112.430   # SOURCE3 1
nd-c3-os 106.495 115.410   # SOURCE3 3
nh-c3-nh 109.672 105.870   # SOURCE3 1
nh-c3-oh 107.958 112.270   # SOURCE4_SOURCE5 43 0.9258
nh-c3-os 109.202 109.130   # SOURCE4_SOURCE5 47 1.3529
nh-c3-p5 101.809 112.500   # SOURCE4 5 1.7371
nh-c3-ss 80.602 109.010   # SOURCE4_SOURCE5 19 2.2237
n-c3-n2 106.958 111.310   # SOURCE4_SOURCE5 12 1.5991
n-c3-n3 107.105 111.110   # SOURCE4_SOURCE5 37 1.6907
n-c3-n 106.473 112.650   # SOURCE3_SOURCE5 30 2.1166
n-c3-nh 108.332 108.660   # SOURCE4_SOURCE5 26 1.9779
n-c3-oh 107.902 112.560   # SOURCE4_SOURCE5 75 1.1310
no-c3-no 105.051 105.180   # SOURCE4_SOURCE5 23 1.9192
n-c3-os 109.285 109.130   # SOURCE4_SOURCE5 432 0.8256
n-c3-p5 102.749 110.520   # SOURCE4_SOURCE5 12 1.2739
oh-c3-oh 110.720 109.900   # SOURCE4_SOURCE5 20 1.5118
oh-c3-os 110.658 109.380   # SOURCE4_SOURCE5 280 1.2270
oh-c3-p5 104.174 108.680   # SOURCE4_SOURCE5 77 1.3087
oh-c3-sh 78.616 115.460   # SOURCE3 1
o-c3-o 113.472 122.300   # SOURCE3 1
os-c3-os 110.893 108.290   # SOURCE3_SOURCE5 723 1.0283
os-c3-p5 104.392 107.990   # SOURCE4_SOURCE5 63 2.0205
os-c3-ss 81.130 108.590   # SOURCE4_SOURCE5 54 1.6231
p2-c3-p2 104.003 110.480   # SOURCE3 1
p3-c3-p3 103.975 110.160   # SOURCE3 1
p5-c3-p5 105.046 110.130   # SOURCE4 33 2.4116
p5-c3-ss 81.364 111.480   # SOURCE4_SOURCE5 12 1.9291
s4-c3-s4 63.477 112.290   # SOURCE3 2 1.2724
s4-c3-s6 63.526 113.520   # SOURCE3 1
s6-c3-s6 64.593 111.220   # SOURCE3_SOURCE5 6 1.7567
sh-c3-sh 61.944 116.260   # SOURCE3 1
sh-c3-ss 63.545 110.730   # SOURCE3 1
s-c3-s 60.088 123.350   # SOURCE3 1
ss-c3-ss 63.417 111.440   # SOURCE4_SOURCE5 66 1.6272
br-ca-br 67.710 117.600   # SOURCE3 1
br-ca-ca 64.160 119.300   # SOURCE3_SOURCE5 640 0.4898
c1-ca-c1 66.786 120.000   # SOURCE3 1
c1-ca-ca 67.736 120.000   # SOURCE3 1
c2-ca-c2 69.458 120.000   # SOURCE3 1
c2-ca-ca 68.938 120.600   # SOURCE3 1
c3-ca-c2 66.051 120.000   # SOURCE3 1
c3-ca-c3 64.318 116.800   # SOURCE3 1
c3-ca-ca 65.583 120.770   # SOURCE3_SOURCE5 23865 1.2220
c3-ca-cp 65.482 120.630   # CORR 120
c3-ca-cq 65.482 120.630   # CORR 120
c3-ca-na 83.171 118.720   # SOURCE4_SOURCE5 145 1.1124
c3-ca-nb 84.916 116.680   # SOURCE4_SOURCE5 1062 0.9093
ca-ca-ca 68.767 120.020   # SOURCE3_SOURCE5 108055 0.7701
ca-ca-cc 67.122 120.790   # SOURCE3_SOURCE5 2048 2.0941
ca-ca-cd 67.122 120.790   # SOURCE3_SOURCE5 2048 2.0941
ca-ca-ce 66.584 120.820   # SOURCE3_SOURCE5 3962 1.5682
ca-ca-cf 66.584 120.820   # SOURCE3_SOURCE5 3948 1.5732
ca-ca-cg 67.841 120.270   # SOURCE3_SOURCE5 453 0.4194
ca-ca-ch 67.841 120.270   # SOURCE3_SOURCE5 447 0.4218
ca-ca-cl 72.112 119.390   # SOURCE4_SOURCE5 6669 0.5363
ca-ca-cp 68.394 120.690   # CORR_SOURCE5 1915 0.8596
ca-ca-cq 68.394 120.690   # CORR_SOURCE5 1915 0.8596
ca-ca-cx 66.227 120.830   # SOURCE4 71 1.3062
ca-ca-cy 65.564 120.860   # SOURCE4 17 2.0287
ca-ca-f 89.261 118.960   # SOURCE4_SOURCE5 2636 0.3804
ca-ca-h4 48.561 120.340   # SOURCE3_SOURCE5 2590 0.5568
ca-ca-ha 48.680 119.880   # SOURCE3_SOURCE5 126779 0.4424
ca-ca-i 61.098 119.110   # SOURCE3_SOURCE5 123 0.9416
ca-ca-n1 88.104 119.780   # HF/6-31G*_SOURCE5 14 0.4655
ca-ca-n2 89.100 119.570   # SOURCE3 1
ca-ca-n4 83.650 119.310   # SOURCE3_SOURCE5 63 1.4960
ca-ca-n 85.629 120.190   # SOURCE3_SOURCE5 3041 2.2480
ca-ca-na 87.167 118.340   # SOURCE3 54 3.6168
ca-ca-nb 86.849 122.940   # SOURCE3_SOURCE5 5507 1.1495
ca-ca-nc 87.635 119.720   # SOURCE3 22 3.3994
ca-ca-nd 87.635 119.720   # SOURCE3 22 3.3994
ca-ca-ne 85.610 120.610   # SOURCE3_SOURCE5 349 2.0914
ca-ca-nf 85.610 120.610   # SOURCE3_SOURCE5 349 2.0914
ca-ca-nh 86.163 120.950   # SOURCE3_SOURCE5 4970 1.2168
ca-ca-no 84.250 119.010   # SOURCE3_SOURCE5 854 0.7071
ca-ca-o 89.534 123.260   # SOURCE4_SOURCE5 35 1.2620
ca-ca-oh 87.211 119.900   # SOURCE3_SOURCE5 6384 1.7827
ca-ca-os 87.289 119.200   # SOURCE3 52 0.5240
ca-ca-p2 81.329 114.360   # SOURCE3 1
ca-ca-p3 79.908 120.010   # SOURCE3_SOURCE5 24 1.1566
ca-ca-p4 80.525 120.300   # SOURCE3 1
ca-ca-p5 80.938 120.240   # SOURCE4_SOURCE5 15 0.0746
ca-ca-pe 79.643 120.450   # SOURCE3 20 0.2719
ca-ca-pf 79.643 120.450   # SOURCE3 20 0.2719
ca-ca-px 79.761 120.530   # SOURCE3 10 0.4509
ca-ca-py 80.172 120.250   # SOURCE3_SOURCE5 75 1.5353
ca-ca-s4 63.561 119.150   # SOURCE3 1
ca-ca-s6 63.822 120.430   # SOURCE4_SOURCE5 89 1.1843
ca-ca-s 64.056 122.550   # SOURCE3 4
ca-ca-sh 63.072 121.780   # SOURCE4_SOURCE5 54 1.3490
ca-ca-ss 63.530 120.060   # SOURCE3_SOURCE5 1341 2.1632
ca-ca-sx 62.473 119.280   # SOURCE3_SOURCE5 140 1.1919
ca-ca-sy 63.407 119.420   # SOURCE3_SOURCE5 1489 0.7572
c-ca-c3 64.497 118.060   # SOURCE3 1
c-ca-c 64.519 120.000   # SOURCE3 1
c-ca-ca 66.351 120.330   # SOURCE3_SOURCE5 8320 1.9221
cc-ca-cp 66.010 124.300   # SOURCE4_SOURCE5 20 0.6423
cc-ca-nb 86.709 117.750   # CORR_SOURCE5 42 1.7067
cd-ca-nb 86.709 117.750   # CORR_SOURCE5 42 1.7067
ce-ca-na 84.062 119.920   # SOURCE4_SOURCE5 38 0.5659
ce-ca-nb 86.028 117.560   # CORR_SOURCE5 91 0.8492
cf-ca-nb 86.028 117.560   # CORR_SOURCE5 91 0.8492
cg-ca-cp 67.320 121.530   # SOURCE4_SOURCE5 24 0.1831
c-ca-ha 46.900 115.900   # SOURCE3 1
cl-ca-cl 80.510 118.720   # SOURCE3 1
cl-ca-cp 71.726 120.390   # SOURCE4_SOURCE5 52 0.5449
cl-ca-nb 92.329 116.180   # SOURCE4_SOURCE5 152 0.5909
c-ca-nb 85.429 117.780   # SOURCE4_SOURCE5 262 1.1507
c-ca-nc 80.781 130.800   # SOURCE3 1
c-ca-nd 80.781 130.800   # SOURCE3 1
cp-ca-f 88.831 119.420   # SOURCE4_SOURCE5 46 0.2425
cp-ca-h4 48.404 120.090   # SOURCE4_SOURCE5 62 0.4243
cp-ca-ha 48.475 119.860   # CORR_SOURCE5 1240 0.5472
cp-ca-na 90.665 108.790   # SOURCE4_SOURCE5 514 0.5055
cp-ca-nb 86.369 123.580   # SOURCE4_SOURCE5 129 0.8391
cp-ca-nh 85.714 121.560   # SOURCE4_SOURCE5 30 0.5872
cp-ca-oh 86.623 120.850   # SOURCE4_SOURCE5 41 1.3658
cp-ca-ss 65.950 111.170   # SOURCE4_SOURCE5 24 1.8180
cp-ca-sy 65.646 111.180   # CORR 4
cq-ca-ha 48.475 119.860   # CORR_SOURCE5 1240 0.5472
cq-ca-sy 65.646 111.180   # CORR 4
f-ca-f 116.252 117.500   # SOURCE3 1
f-ca-nb 116.437 114.670   # SOURCE4_SOURCE5 42 0.4295
h4-ca-n 61.444 116.020   # SOURCE3 1
h4-ca-na 62.367 116.320   # SOURCE3_SOURCE5 394 0.4031
h4-ca-nb 64.066 116.030   # SOURCE3_SOURCE5 2217 0.2861
h4-ca-nc 62.978 118.360   # SOURCE3 1
h4-ca-nd 62.978 118.360   # SOURCE3 1
h4-ca-os 64.330 111.150   # SOURCE3 1
h4-ca-ss 42.528 116.190   # SOURCE3 1
h5-ca-nb 64.141 115.820   # SOURCE3_SOURCE5 618 0.3893
h5-ca-nc 62.019 122.110   # SOURCE3 1
h5-ca-nd 62.019 122.110   # SOURCE3 1
ha-ca-n2 65.427 116.000   # SOURCE2 1
ha-ca-p2 51.256 122.560   # SOURCE3 1
i-ca-i 67.026 119.280   # SOURCE3 1
n1-ca-n1 114.391 117.030   # HF/6-31G* 1
n2-ca-n2 115.741 120.000   # SOURCE3 1
n2-ca-na 112.235 119.600   # SOURCE3 1
n4-ca-n4 102.984 116.820   # SOURCE3 1
na-ca-na 115.064 107.620   # SOURCE4_SOURCE5 11 0.8382
na-ca-nb 107.575 127.090   # SOURCE4_SOURCE5 708 1.9791
na-ca-nh 109.505 118.660   # SOURCE4_SOURCE5 73 0.9977
nb-ca-nb 109.369 127.260   # SOURCE4_SOURCE5 1586 1.1854
nb-ca-nc 109.175 126.500   # CORR_SOURCE5 33 1.0453
nb-ca-nd 109.175 126.500   # CORR_SOURCE5 33 1.0453
nb-ca-nh 112.063 116.940   # SOURCE4_SOURCE5 2042 0.7868
nb-ca-oh 112.676 117.680   # SOURCE4_SOURCE5 182 0.7979
nb-ca-os 111.458 119.720   # SOURCE4_SOURCE5 194 0.7211
nb-ca-sh 80.990 117.610   # SOURCE4_SOURCE5 35 1.3741
nb-ca-ss 80.595 118.800   # SOURCE4_SOURCE5 111 1.8247
nc-ca-nc 107.717 128.740   # SOURCE3 1
nc-ca-nh 110.670 118.860   # SOURCE3 1
nd-ca-nd 107.717 128.740   # SOURCE3 1
nd-ca-nh 110.670 118.860   # SOURCE3 1
nh-ca-nh 108.376 120.980   # SOURCE3 1
n-ca-nc 107.316 123.860   # SOURCE3 1
n-ca-nd 107.316 123.860   # SOURCE3 1
n-ca-nh 109.547 116.160   # SOURCE3 1
no-ca-no 103.915 117.140   # SOURCE3 1
oh-ca-oh 110.589 120.000   # SOURCE3 1
o-ca-o 118.708 126.820   # SOURCE3 1
os-ca-os 113.107 113.730   # SOURCE3 1
p2-ca-p2 100.107 121.200   # SOURCE3 1
p3-ca-p3 100.783 121.460   # SOURCE3 1
p5-ca-p5 103.117 120.000   # SOURCE3 1
s4-ca-s4 66.946 105.810   # SOURCE3 1
s6-ca-s6 67.745 105.810   # SOURCE3 1
sh-ca-sh 63.051 120.240   # SOURCE3 1
s-ca-s 63.293 125.140   # SOURCE3 1
ss-ca-ss 64.440 115.150   # SOURCE3 1
br-c-br 67.692 113.100   # SOURCE3 1
br-c-c3 64.598 110.740   # SOURCE3 1
br-c-o 78.490 121.460   # SOURCE3 5 1.6264
c1-c-c1 67.194 115.320   # SOURCE3 1
c1-c-o 87.628 122.340   # SOURCE3 1
c2-c-c2 69.337 116.780   # SOURCE3 1
c2-c-ha 49.151 115.950   # SOURCE3 1
c2-c-o 91.182 119.120   # SOURCE3 2
c2-c-s 66.780 119.160   # SOURCE3 2
c3-c-c3 64.041 116.500   # SOURCE3_SOURCE5 720 1.3034
c3-c-ca 64.216 118.400   # SOURCE4_SOURCE5 749 1.4991
c3-c-cc 64.984 117.290   # CORR_SOURCE5 118 1.7737
c3-c-cd 64.984 117.290   # CORR_SOURCE5 118 1.7737
c3-c-ce 64.919 116.440   # CORR_SOURCE5 543 1.3559
c3-c-cf 64.919 116.440   # CORR_SOURCE5 543 1.3559
c3-c-cg 65.958 115.000   # SOURCE2 1
c3-c-ch 65.958 115.000   # SOURCE2 1
c3-c-cl 71.237 111.990   # SOURCE3 2 0.0125
c3-c-f 88.418 110.700   # SOURCE2 1
c3-c-h4 46.112 114.640   # SOURCE4_SOURCE5 193 0.4989
c3-c-ha 46.047 115.220   # SOURCE3 15 0.3181
c3-c-i 60.388 112.940   # SOURCE3 1
c3-c-n2 83.534 114.530   # SOURCE3 1
c3-c-n4 81.106 112.260   # SOURCE3 2
c3-c-n 84.266 115.180   # SOURCE3_SOURCE5 2997 1.3885
c3-c-ne 84.941 112.610   # CORR_SOURCE5 19 2.4426
c3-c-nf 84.941 112.610   # CORR_SOURCE5 19 2.4426
c3-c-o 84.552 123.200   # SOURCE3_SOURCE5 10083 1.8011
c3-c-oh 85.803 112.730   # SOURCE3_SOURCE5 1989 1.3796
c3-c-os 86.419 110.720   # SOURCE3_SOURCE5 1786 0.9391
c3-c-p3 77.773 116.420   # SOURCE3 3 0.1291
c3-c-p5 76.995 118.900   # SOURCE3 1
c3-c-pe 77.418 114.850   # SOURCE3 1
c3-c-pf 77.418 114.850   # SOURCE3 1
c3-c-px 77.387 115.600   # SOURCE3 1
c3-c-py 77.698 118.160   # SOURCE3 3 1.0735
c3-c-s4 61.352 114.790   # SOURCE3 1
c3-c-s6 61.371 114.720   # SOURCE3 1
c3-c-s 63.941 123.150   # SOURCE3_SOURCE5 66 1.3121
c3-c-sh 63.752 112.650   # SOURCE3_SOURCE5 9 1.5127
c3-c-ss 63.438 113.510   # SOURCE3_SOURCE5 65 0.9334
c3-c-sx 61.201 113.970   # SOURCE3 3 0.0610
c3-c-sy 61.612 114.280   # SOURCE3 3 0.7341
ca-c-ca 65.033 118.110   # SOURCE4_SOURCE5 506 1.8633
ca-c-cc 66.124 116.000   # CORR_SOURCE5 670 1.7109
ca-c-cd 66.124 116.000   # CORR_SOURCE5 670 1.7109
ca-c-ce 64.959 119.020   # CORR_SOURCE5 83 1.3943
ca-c-cf 64.959 119.020   # CORR_SOURCE5 83 1.3943
ca-c-h4 46.911 115.140   # SOURCE4_SOURCE5 122 0.7683
ca-c-ha 47.184 114.120   # SOURCE3 1
ca-c-n 85.392 115.250   # SOURCE4_SOURCE5 1494 1.4889
ca-c-ne 85.290 114.710   # SOURCE4_SOURCE5 14 0.5855
ca-c-o 86.207 122.600   # SOURCE3_SOURCE5 3960 1.5802
ca-c-oh 86.748 113.450   # SOURCE4_SOURCE5 656 0.8414
ca-c-os 86.963 112.440   # SOURCE3_SOURCE5 493 0.8365
ca-c-s 64.593 122.680   # SOURCE4_SOURCE5 32 1.3788
ca-c-sh 62.515 118.630   # SOURCE3 1
ca-c-ss 63.406 115.050   # SOURCE4_SOURCE5 37 1.0695
br-cc-c 65.156 116.280   # SOURCE4_SOURCE5 32 1.1116
br-cc-cc 63.389 124.050   # SOURCE4_SOURCE5 31 1.9388
br-cc-cd 63.686 124.230   # SOURCE4_SOURCE5 116 2.3356
br-cc-na 80.565 121.580   # SOURCE4_SOURCE5 19 0.8500
c2-cc-c3 65.262 126.110   # SOURCE3 2
c2-cc-ca 66.952 124.420   # CORR_SOURCE5 25 1.8245
c2-cc-cc 68.308 122.190   # CORR_SOURCE5 46 2.3853
c2-cc-cd 71.286 117.020   # SOURCE3 2 0.0703
c2-cc-ha 49.231 122.720   # SOURCE3 2 0.0092
c2-cc-n 86.150 124.910   # SOURCE3_SOURCE5 5 1.6803
c2-cc-os 87.991 121.420   # CORR_SOURCE5 24 0.9570
c-c-c3 63.621 116.170   # SOURCE3_SOURCE5 58 1.1332
c3-cc-ca 63.318 126.520   # CORR_SOURCE5 370 1.8946
c3-cc-cc 66.709 115.970   # SOURCE3 4 3.0507
c3-cc-cd 66.802 119.450   # SOURCE3 35 8.2040
c3-cc-cf 67.395 117.840   # CORR 2
c3-cc-ha 45.517 121.520   # SOURCE3 32 3.2091
c3-cc-n2 83.336 125.690   # CORR_SOURCE5 12 1.9935
c3-cc-n 83.558 119.190   # CORR_SOURCE5 107 2.1078
c3-cc-na 82.356 122.730   # CORR_SOURCE5 961 1.6482
c3-cc-nc 83.215 120.950   # CORR_SOURCE5 456 0.8756
c3-cc-nd 83.886 122.410   # CORR_SOURCE5 653 1.6992
c3-cc-os 84.855 116.800   # CORR_SOURCE5 306 0.8990
c3-cc-ss 62.656 121.530   # CORR_SOURCE5 270 1.0948
c-c-c 64.391 111.680   # SOURCE3 2 6.1226
c-c-ca 63.623 118.600   # SOURCE4_SOURCE5 90 1.0263
ca-cc-cc 69.336 111.040   # SOURCE3 9 7.9455
ca-cc-cd 69.802 113.510   # SOURCE3 26 7.4229
ca-cc-ce 64.258 127.010   # SOURCE4_SOURCE5 38 1.6763
ca-cc-h4 45.368 129.250   # SOURCE3_SOURCE5 54 1.5632
